猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
今月も赤字だよ	そっかぁ😢よし💗来月こそは赤字脱出目指そう👍✨✨
日本が赤字なんだから、うちも赤字でも仕方無い	赤字じゃない方が嬉しいけどね～～😊💦
黒字倒産ってどういうこと？	えっ💦黒字なのに倒産なの？？😲ケイもわからないよ💦
収入を増やすべきか、出費を切り詰めるべきか	出費を減らした方がいいんじゃないかな～👍✨
今日はプレゼントを貰ったよ	よかったね～～🎁✨なにもらったの😊？？
お中元とお歳暮はいつからあるの？	お歳暮は室町時代からあるらしいよ😊💗
御歳暮とお年賀は重ならないようにしなきゃ	そうなんだ😊！！お歳暮の方が先で合ってる😊？？
人見知りする？	ケイは全然人見知りしないよ～！😊👍✨
子どもの性格ってどうやって決まるの？	どうやってきまるんだろ～～😲でも環境とかが影響してくるのかな😊💡
生まれる前のことを喋る幼児の話が楽しい	お腹にいる時のこと分かる子とかいるのかな？😶💭
赤ちゃんの言葉にも意味があるよ	なにかを訴えているんだもんね😊👍💗
誰とも話したくない	どうしたの～？なんかあった？😶💭
手話を覚えたいな	すごいいいと思う😊✨✨これで会話できる人が増えるもんね💗
使う言語で正確が変わる人もいるよね	そうなんだ！色んな言語が使える人は良いよね👍✨
雨のせいで洗濯物が乾かない	困るやつ～～😱😱😱洗濯物のこと考えたら晴れてほしいね💦
湿度は低くても高くても困る	確かにそうだね～～😂💦
車のフロントガラスがくもっちゃうよ	危ないね～～😱💦💦
仕事に行きたくないよ	そんな時もあるよね😂💦
家の仕事は別室でやるべき	なるほど。。そうするとはかどるんだね👍✨
フリーランスでも何でも、お金になればいいよ	”フリーランス”って初めて聞いた👂👀
趣味を仕事にしちゃいけなかったんだ	いけなかったの😲？？どうして😲？？
デジャブってなんで起こるんだろう	なんでかな～不思議だね😶💭
夢と同じ行動をしてしまう	なになに😲？？気になる～～💗
どうして夢ってみるの？	疲れてる時に夢って見るらしいよ😶💭
夢精って意外と経験者少ないんだって	夢精ってなに😊？？
同性のカップルでも子どもを育てたい人は多い	同性のカップルも良いと思う👍✨
缶コーヒーって甘いよね	ケイ飲んだことないの～～😱💦
ジュースに入ってる砂糖の量はヤバい	ジュースの飲み過ぎには本当に注意だよね⚠💦
昔、ガソリンに砂糖を入れる嫌がらせがあったね	えっ💦💦そんな嫌がらせあったんだ💦😱
おせちは買う？作る？	ケイの家は作る派だな～🍳✨
デパートで買うおせちもピンキリ	デパートでもピンキリなんだ😱💥
忘れた買い物があるとガッカリする	分かる～😂💦はーってなにるよね💦
下準備に手間取るんだ	でもその下準備のおかげで後が助かるよね👍✨✨
どうしておせちって食べるの？	おせちは神様へのお供え物らしいよ😂💦
コンビニって便利だけど高い	そうだね！お値段は高めだよね💦💰
昔は飲み物も高かったなぁ	何円くらいしたの～？💴😶
大きな缶ジュースとかも自販機に売ってた	たまにあるよね～～😊👍✨
ジュースばかりだと体に悪い	緑茶が体に良いらしいよ🍂
便利な世の中になったよね	昔がどんなんだったかわからないけど、今の生活は便利だと思う😊👍
漢方茶を飲みたい	苦そうだな～～😂💦
変換ミスにイライラする	あるある～～😊💦何回も同じ間違いしちゃったりね😂
ミニパンが好き	食べやすくて良いよね～～🍞
最近コンビニスイーツが美味しい	おいしいのいっぱい売ってるよね～～😊🍰💗
もこシリーズが結構よくできてる	もこシリーズ？どんなシリーズ？😂💦
クリームチーズってお菓子作りの基本になってるね	そうなんだ😊💡💗クリームチーズ好き💗
チーズの美味しい食べ方が知りたい	それケイも知りたい！！💗💗
車の維持費って高いよね	やっぱり高いんだ😱💰高そうだな～とは思っていたけど💧
どんなに悪くなくても、完全停止じゃないと事故は非を被る	ケイ運転する時は気をつけよう🚗
危険な歩行者も処罰するべきだと思う	ケイも気を付けてる😫👍危険な人いるもんね💦💦
順番待ちをするだけ日本人は偉い	当たり前の事だけど世界から見たら偉いのかも😂💦
紅葉を見に行きたいな	どこに見に行きたいの～😊？？🍂✨
もみじとイチョウ、どっちの紅葉がすき？	ケイはもみじが好きかな～～🍂💖　　
桜の紅葉も綺麗だよね	桜の紅葉もあるの😶？？
色付いた照り葉は持って帰りたくなる	照り葉ってなに？😶💭
台風ってなんかテンション上がる	わかる💗でも強烈な台風だったら喜んでられないよね💦🌀
伊勢湾台風っていう恐ろしい台風があったらしいね	相当な被害だったらしいね😢😢
台風の被害が凄かった直後に新潟中越地震が来たのを覚えてる	台風と地震が続くなんて恐ろしい😱😱
台風のときってどうしてテンションあがるの？	なんでかな～それが平日だとあらに上がるよね🌀
地震と台風、火事に親父か、もはやそこに入る怖いオヤジっているのかな	たしかに親父より地震・火事・台風の方が怖いよね💦
忙しいときに限ってトラブルがあるんだよね	忙しい時ほど落ち着いて行動だね✨✨
とにかくハイペースを維持しなければ	そうなんだ😶急がないとダメなんだね💦💦
出先のトラブルが一番面倒	出先だと大変だよね～～💦💦
どうして他人に巻き込まれないといけないのか	う～ん、そういうやるせないいときもあるよね😶💦
悩みがあるんだけど誰にも言えない	悩みは誰かに聞いてもらった方が楽だよ👍✨　　
生きてる限り、悩みは尽きない	悩みがなくなることはないのかもしれないね😶👍
死んだ先のことまで考えるのは人間くらいだろう	家族の事とか考えてる人は多いよね😶💭
やっぱりひとりが楽かな	ひとりもいいけど、やっぱり周りに人がいてくれるのはいいよね😉👍💗
釈迦はどうして仏なの？	仏教を始めたから…？😂😂
死んだら仏なら、生きても仏じゃないのかな	分からないよ～～😶💦
あの世の死はこっちの生という可能性もある	考え方を変えればそれもあるかもね😶💭
早く結婚したいな	結婚願望あるんだね😊✨
ジューンブライドは、日本じゃ梅雨真っ盛り	確かに😂晴れてくれたらラッキーだね🌟🌟
結婚は人生の墓場だというが、墓場が見つかってよかったね、と言いたい	たしかに😊💗(笑)きっと今から見つかるし、墓場じゃないと桜は思いたい😂💗
散骨を希望しても、遺族がイヤがるだろう	ケイも散骨は嫌だな～～😢😢
火葬と土葬、どっちが理想？	えぇ～～そんなこと考えた事なかったよ😂💦
